SET DEFINE OFF;
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (1, '서울특별시', '강남구', 37.4979, 127.0276);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (2, '서울특별시', '강동구', 37.5301, 127.1238);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (3, '서울특별시', '강북구', 37.6396, 127.0257);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (4, '서울특별시', '강서구', 37.5509, 126.8495);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (5, '서울특별시', '관악구', 37.4784, 126.9516);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (6, '서울특별시', '광진구', 37.5384, 127.0826);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (7, '서울특별시', '구로구', 37.4955, 126.8873);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (8, '서울특별시', '금천구', 37.4558, 126.8958);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (9, '서울특별시', '노원구', 37.6540, 127.0568);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (10, '서울특별시', '도봉구', 37.6688, 127.0477);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (11, '서울특별시', '동대문구', 37.5740, 127.0396);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (12, '서울특별시', '동작구', 37.5027, 126.9487);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (13, '서울특별시', '마포구', 37.5602, 126.9088);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (14, '서울특별시', '서대문구', 37.5792, 126.9355);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (15, '서울특별시', '서초구', 37.4835, 127.0164);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (16, '서울특별시', '성동구', 37.5612, 127.0378);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (17, '서울특별시', '성북구', 37.5891, 127.0195);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (18, '서울특별시', '송파구', 37.5146, 127.1057);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (19, '서울특별시', '양천구', 37.5170, 126.8669);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (20, '서울특별시', '영등포구', 37.5244, 126.8964);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (21, '서울특별시', '용산구', 37.5324, 126.9904);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (22, '서울특별시', '은평구', 37.6176, 126.9227);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (23, '서울특별시', '종로구', 37.5730, 126.9794);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (24, '서울특별시', '중구', 37.5636, 126.9976);
INSERT INTO tblActivityRegionCoordinate (tblActivityRegionCoordinateSeq, sido, gugun, latitude, longitude) VALUES (25, '서울특별시', '중랑구', 37.6060, 127.0928);
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (1, '스포츠');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (2, '게임');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (3, '맛집');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (4, '문화');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (5, '힐링');
INSERT INTO tblCategoryMain (tblCategoryMainSeq, categoryName) VALUES (6, '자기계발');
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (1, '4z3wyacj', 'h9^v$s9@^7ryc', '정하은', '즐거운햇살68', TO_DATE('1977-09-05', 'YYYY-MM-DD'), '010-2083-4804', '4z3wyacj@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (16, '39o76kb17ce178n0', 'h8^28@&2', '박민영', '귀여운햇살55', TO_DATE('1992-08-08', 'YYYY-MM-DD'), '010-5449-3278', '39o76kb17ce178n0@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (17, '9ug9egjc0m2', 'e0@j48(c9', '최주아', '조용한강아지89', TO_DATE('1973-05-07', 'YYYY-MM-DD'), '010-8064-3706', '9ug9egjc0m2@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (18, '4f05ax2g', 'n6)54cba7r8%(3*1', '임서수', '귀여운해92', TO_DATE('1995-11-22', 'YYYY-MM-DD'), '010-1001-5563', '4f05ax2g@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (19, 'z91viy916px7', 'z7#!nhw20@r%1ti)(', '김하영', '조용한바람39', TO_DATE('1999-06-17', 'YYYY-MM-DD'), '010-9390-6332', 'z91viy916px7@hanmail.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (20, 'e7al4rn7474', 'h5(!$!3^ux6*!@^)', '강예아', '재미있는구름54', TO_DATE('1975-04-10', 'YYYY-MM-DD'), '010-4507-2197', 'e7al4rn7474@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (21, '79ndd45w', 'y7$)h9%hr3n%', '정지희', '신나는토끼84', TO_DATE('1987-09-07', 'YYYY-MM-DD'), '010-7139-5385', '79ndd45w@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (22, 'bt50uzr7z6191', 'l0&we(q5y', '조민우', '귀여운강아지71', TO_DATE('1980-09-13', 'YYYY-MM-DD'), '010-9694-8474', 'bt50uzr7z6191@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (23, '815a2w3s04lh67569', 'b6(2&)26', '임하진', '귀여운달73', TO_DATE('1977-09-23', 'YYYY-MM-DD'), '010-4461-6091', '815a2w3s04lh67569@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (24, 'f1rs1chtwl', 'y3@(d6$l)&!y3', '윤승아', '행복한사자06', TO_DATE('1987-10-19', 'YYYY-MM-DD'), '010-8698-9514', 'f1rs1chtwl@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (25, 'b6xp3lze748r7mo', 'a8*$7#5(9g4g6', '임현은', '상냥한숲61', TO_DATE('1981-07-15', 'YYYY-MM-DD'), '010-2101-6533', 'b6xp3lze748r7mo@hanmail.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (26, 'w6izeh', 'd9@^88$(7&@t', '조하은', '귀여운사자10', TO_DATE('1989-02-07', 'YYYY-MM-DD'), '010-1600-7663', 'w6izeh@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (27, 'mfeez7zd9i9p1u077p', 'i2@r8$ge0(w!', '윤하희', '행복한달71', TO_DATE('1993-11-08', 'YYYY-MM-DD'), '010-4781-2810', 'mfeez7zd9i9p1u077p@gmail.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (28, '8923', 's4(311ci*$#cdd', '정하연', '용감한돌44', TO_DATE('1984-01-13', 'YYYY-MM-DD'), '010-7028-0381', '8923@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (29, 'v3ck59597h9035t8g525', 'p9!i56#90bl&p7&5!', '최도수', '귀여운모래69', TO_DATE('1988-12-18', 'YYYY-MM-DD'), '010-5347-4379', 'v3ck59597h9035t8g525@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (30, '8s2f2yv2fck', 't8&*$06g7dg', '최주진', '유쾌한사자79', TO_DATE('1995-07-07', 'YYYY-MM-DD'), '010-6113-5318', '8s2f2yv2fck@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (31, '1uqzarsynmt2vf', 'o3*04$&&^5(', '이서연', '귀여운하늘93', TO_DATE('1986-03-10', 'YYYY-MM-DD'), '010-1854-2422', '1uqzarsynmt2vf@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (32, 'u2iwn69r4q', 'e8#fd6x$&pqak#^', '조민아', '귀여운모래38', TO_DATE('1994-11-18', 'YYYY-MM-DD'), '010-8981-7386', 'u2iwn69r4q@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (33, '3o4f5', 't1@9g05*tu^#m%e$%', '최주희', '다정한호랑이38', TO_DATE('2000-08-18', 'YYYY-MM-DD'), '010-9261-5870', '3o4f5@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (34, '8655f', 'g6!!j37l(%', '김민호', '행복한바다21', TO_DATE('1971-10-21', 'YYYY-MM-DD'), '010-5880-9970', '8655f@hanmail.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (35, 'u967lb432ix', 'h7@$54gn*46', '윤현호', '친절한산79', TO_DATE('1993-01-24', 'YYYY-MM-DD'), '010-0230-6154', 'u967lb432ix@naver.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (36, 'y4ks7r45ovmmi92skw4', 'z1%5(7ls90k1za5@8', '임도호', '친절한고양이09', TO_DATE('1999-08-28', 'YYYY-MM-DD'), '010-2481-2031', 'y4ks7r45ovmmi92skw4@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (37, 'fei17ab1z2168w27amom', 'k7*3g$!18n73$iv7', '박현진', '친절한구름67', TO_DATE('1999-08-14', 'YYYY-MM-DD'), '010-9261-0772', 'fei17ab1z2168w27amom@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (38, 'o2299oz8708v', 'h3#d2w*1', '임민빈', '유쾌한산36', TO_DATE('1985-04-27', 'YYYY-MM-DD'), '010-9332-9392', 'o2299oz8708v@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (39, '67qo', 'g7$!)(x33d)7%#0!3', '최예우', '멋진숲14', TO_DATE('1978-08-04', 'YYYY-MM-DD'), '010-6435-2019', '67qo@daum.net', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (40, 'td3h0655amqsa6uimq', 'r9#4i*$3d@)u^s', '임준은', '다정한하늘93', TO_DATE('1980-05-01', 'YYYY-MM-DD'), '010-0354-7787', 'td3h0655amqsa6uimq@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (41, 'jyb58uf8z07y146', 'i0!m2#()fe', '강준영', '다정한나무17', TO_DATE('1980-09-01', 'YYYY-MM-DD'), '010-4821-4534', 'jyb58uf8z07y146@gmail.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (42, 'n3ec1h261n73vki0', 'w2#uzzo2#', '장민영', '유쾌한하늘74', TO_DATE('1978-10-21', 'YYYY-MM-DD'), '010-2475-9970', 'n3ec1h261n73vki0@naver.com', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (43, 'yy40', 'g8()z)(9w&64my', '강하호', '용감한구름03', TO_DATE('1982-12-06', 'YYYY-MM-DD'), '010-3444-1318', 'yy40@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (44, 's9jk6m7f83ez71', 'k3*(*^1%9c!p)#i', '임민연', '든든한고양이26', TO_DATE('1978-09-28', 'YYYY-MM-DD'), '010-9789-3741', 's9jk6m7f83ez71@daum.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (45, '1mf569p2v36', 'j7@#opa$4@93wid!7', '임서은', '귀여운강아지63', TO_DATE('1983-11-24', 'YYYY-MM-DD'), '010-9437-3128', '1mf569p2v36@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (46, '4v07ple5256g8', 'd7&l!23k43w#4@', '강현진', '상냥한호랑이13', TO_DATE('1986-07-10', 'YYYY-MM-DD'), '010-6604-7730', '4v07ple5256g8@gmail.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (47, '48scm', 'a6$olddd1p^fi', '김현진', '다정한호랑이09', TO_DATE('1983-02-11', 'YYYY-MM-DD'), '010-8187-2780', '48scm@hanmail.net', 'M', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (48, '07g2rb6v6cxg3phh6jnd', 'f4#jt74@51%((', '장주호', '똑똑한꽃92', TO_DATE('1993-10-07', 'YYYY-MM-DD'), '010-9431-1284', '07g2rb6v6cxg3phh6jnd@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (49, 'k8yu32xj', 'j9$x@0!!aw', '최승영', '신나는사자04', TO_DATE('1988-08-04', 'YYYY-MM-DD'), '010-2375-5870', 'k8yu32xj@naver.com', 'F', 'basicProfile.png', default, 0);
INSERT INTO tblMember (tblMemberSeq, id, pw, name, nickname, birthday, tel, email, gender, photoFileName, registrationDate, status) VALUES (50, '03u874p', 'k8^0$575', '김서빈', '똑똑한꽃80', TO_DATE('1998-10-02', 'YYYY-MM-DD'), '010-7391-8581', '03u874p@naver.com', 'M', 'basicProfile.png', default, 0);
